dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value
salinas,ALL_BANDS,SVM-RBF,204,0.9349563953488372,0.9697368083329427,0.9352880568853001,0.9276983791866112,4.875290870666504,
salinas,ALL_BANDS,Random Forest,204,0.9212209302325581,0.9546165723931888,0.9201005779013371,0.9122607193866724,37.783334255218506,
salinas,CCARS_50,SVM-RBF,50,0.9180959302325581,0.9609743418126222,0.918019931615959,0.9089235629441498,2.145427942276001,0.024390243902439025
salinas,CCARS_50,Random Forest,50,0.9100290697674419,0.9480905027631138,0.9090342740110304,0.8998407362413327,18.86861777305603,0.024691358024691357
salinas,CCARS_30,SVM-RBF,30,0.9060683139534884,0.9478366946347512,0.905651144275932,0.895587948707709,2.178546667098999,0.024390243902439025
salinas,CCARS_30,Random Forest,30,0.9004360465116279,0.9396584017072813,0.8989317724298597,0.8891040140603159,13.50248646736145,0.012345679012345678
salinas,CCARS_20,Random Forest,20,0.8881540697674418,0.9300832739832321,0.8865158886291907,0.8754408735443511,10.785642623901367,1.0
salinas,CCARS_20,SVM-RBF,20,0.8879360465116279,0.9333933069001801,0.8877118761919877,0.8755600495175866,1.8983235359191895,0.024390243902439025
salinas,CCARS_10,Random Forest,10,0.837390988372093,0.8784786397251139,0.836500264716078,0.8190529306322648,9.139262437820435,1.0
salinas,CCARS_10,SVM-RBF,10,0.8135537790697674,0.8689516938189041,0.8152844047012255,0.794282650232315,2.2867491245269775,0.4878048780487805
salinas,CCARS_20,PLS-DA,20,0.43012354651162793,0.16294561629487447,0.2855355886454878,0.32550587501643313,0.057372331619262695,1.0
salinas,CCARS_10,PLS-DA,10,0.40588662790697677,0.1514365247659712,0.26824671747061435,0.2940520007347349,0.056058645248413086,1.0
salinas,ALL_BANDS,PLS-DA,204,0.3924781976744186,0.10339412805015855,0.2225556875686299,0.28397397521330825,0.2650892734527588,
salinas,CCARS_50,PLS-DA,50,0.3910973837209302,0.10719809834484496,0.2218754165954494,0.27755245780400994,0.12740564346313477,1.0
salinas,CCARS_30,PLS-DA,30,0.38412063953488373,0.11220311334214644,0.22555511916545035,0.2671209603027819,0.09057021141052246,1.0
