train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
4330,1.0,0.0,0.8950489562165156,0.0036778661981641324,0.10495104378348441,0.0036778661981641324
8660,0.9998614318706697,0.00011314040382372898,0.9043414003325327,0.0036213838637385747,0.09552003153813693,0.0036231508165578095
12990,0.9991685912240185,0.00032805659357447773,0.9110659523369666,0.003165159629789317,0.08810263888705183,0.003182115115868019
17321,0.997713757866174,0.0002571567167175029,0.9157583595048957,0.0028193352229868283,0.0819553983612783,0.002831038798131724
21651,0.9971086785829752,0.000513987446057667,0.9197672270460003,0.003307111877620943,0.07734145153697491,0.00334681521237824
25981,0.9965898156345021,0.0005940889536684224,0.9227230740809163,0.003722233340444636,0.07386674155358586,0.0037693451321931873
30312,0.9960609659540776,0.0004227901647822773,0.9265841492702751,0.0031217308086406445,0.06947681668380246,0.0031502309066245918
34642,0.9952600889094164,0.0004314194721383105,0.9280251246997967,0.003974882787352866,0.06723496420961972,0.003998226598647729
38972,0.994698758082726,0.0003957215980428528,0.9310179198226493,0.003491740926312747,0.06368083826007676,0.0035140930949030063
43303,0.9943421933815209,0.0004494558114016094,0.933216331054868,0.0031508942925312015,0.06112586232665285,0.003182788929399557
