dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value
indian_pines,ALL_BANDS,SVM-RBF,200,0.8942634419348391,0.8857132578472589,0.8938562285680677,0.8791372661880754,0.34325456619262695,
indian_pines,ALL_BANDS,Random Forest,200,0.8578852688386968,0.8475488413383893,0.8550213715895887,0.836435230635175,6.310616970062256,
indian_pines,CCARS_50,Random Forest,50,0.7523485908454927,0.7207329165301143,0.7425056235976099,0.7122745813970317,3.136131763458252,1.0
indian_pines,CCARS_50,SVM-RBF,50,0.7441535078952628,0.746627091698311,0.7446585733202888,0.7099172545926536,0.22442841529846191,0.024390243902439025
indian_pines,CCARS_30,Random Forest,30,0.7419548271037377,0.6992328007793143,0.7318681464885342,0.7003767746843781,2.959223985671997,1.0
indian_pines,CCARS_30,SVM-RBF,30,0.7273635818508895,0.7141612919505814,0.7277247339664049,0.6913423185098981,0.2516963481903076,0.07317073170731707
indian_pines,CCARS_20,Random Forest,20,0.6817909254447332,0.5880436646739291,0.6651974182046703,0.6286571711813637,2.7370641231536865,0.012345679012345678
indian_pines,CCARS_20,SVM-RBF,20,0.6658005196881871,0.6338631195697383,0.6675978693040916,0.6245043039849332,0.2756073474884033,0.07317073170731707
indian_pines,CCARS_10,Random Forest,10,0.6204277433539876,0.49435959500509286,0.5982522793289777,0.556813299700885,2.453399419784546,1.0
indian_pines,CCARS_10,SVM-RBF,10,0.5766540075954427,0.5229807340858876,0.580133940939483,0.528233897345683,0.2920041084289551,0.07317073170731707
indian_pines,CCARS_30,PLS-DA,30,0.46352188686787926,0.17649627886292732,0.3099053172959273,0.3386788116575088,0.007561206817626953,1.0
indian_pines,CCARS_50,PLS-DA,50,0.46312212672396563,0.17600748113311043,0.3094576412267521,0.3383783041800249,0.009354591369628906,1.0
indian_pines,CCARS_20,PLS-DA,20,0.46112332600439737,0.17394541509063566,0.30736418878324406,0.33638518062525025,0.0061757564544677734,1.0
indian_pines,ALL_BANDS,PLS-DA,200,0.45712572456526085,0.16937064725140882,0.3044647360556062,0.33085609647819336,0.04319596290588379,
indian_pines,CCARS_10,PLS-DA,10,0.44793124125524686,0.16554517815011113,0.29590784117559576,0.3239795129622216,0.004072427749633789,1.0
