dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value,pls_component
indian_pines,CCARS_50,Random Forest,50,0.7541475114931041,0.7346188757965337,0.7449137753562007,0.7144958068576792,3.471351146697998,1.0,2
indian_pines,Original CARS,RF,30,0.7537477513491905,0.6545135431678971,0.6545135431678971,0.7144953734759791,,,3
indian_pines,CCARS_50,SVM-RBF,50,0.75314811113332,0.7558283912984012,0.7537414590018185,0.7197552288170149,0.2224533557891845,0.073170731707317,2
indian_pines,CCARS_50,Random Forest,50,0.7523485908454927,0.7207329165301143,0.7425056235976099,0.7122745813970317,3.136131763458252,1.0,3
indian_pines,Original CARS,RF,20,0.7517489506296222,0.6451733296690706,0.6451733296690706,0.7136539186811315,,,4
indian_pines,CCARS_30,Random Forest,30,0.7453527883270038,0.7178693109600451,0.7350763227169376,0.7038473735235224,3.044215679168701,1.0,4
indian_pines,CCARS_50,SVM-RBF,50,0.7441535078952628,0.746627091698311,0.7446585733202888,0.7099172545926536,0.2244284152984619,0.024390243902439,3
indian_pines,Original CARS,SVM-RBF,30,0.7423545872476514,0.753706415007841,0.753706415007841,0.7087677088487714,,,4
indian_pines,CCARS_30,Random Forest,30,0.7419548271037377,0.6992328007793143,0.7318681464885342,0.7003767746843781,2.959223985671997,1.0,3
indian_pines,Original CARS,RF,50,0.7415550669598241,0.6825231816161039,0.6825231816161039,0.6994544222166852,,,2
indian_pines,Original CARS,SVM-RBF,30,0.734759144513292,0.7263972393513407,0.7263972393513407,0.6998113585485279,,,3
indian_pines,CCARS_30,SVM-RBF,30,0.7337597441535079,0.7366439987913183,0.7347961618770901,0.6988203549113192,0.2542908191680908,0.024390243902439,4
indian_pines,Original CARS,RF,15,0.7329602238656806,0.6314418656031412,0.6314418656031412,0.692400101023712,,,4
indian_pines,Original CARS,RF,10,0.7303617829302419,0.637906045326816,0.637906045326816,0.689446633554089,,,4
indian_pines,CCARS_30,SVM-RBF,30,0.7273635818508895,0.7141612919505814,0.7277247339664049,0.6913423185098981,0.2516963481903076,0.073170731707317,3
indian_pines,CCARS_30,Random Forest,30,0.7171696981810913,0.6455258768698235,0.7035807648158479,0.6704167586928937,2.990760087966919,1.0,2
indian_pines,CCARS_30,SVM-RBF,30,0.7165700579652209,0.717080002586545,0.7178403772324436,0.6787521684810738,0.266340970993042,0.048780487804878,2
indian_pines,Original CARS,SVM-RBF,20,0.7077753347991206,0.7038798667543986,0.7038798667543986,0.6711288685955346,,,4
indian_pines,Original CARS,RF,5,0.7077753347991206,0.6113073838077974,0.6113073838077974,0.66296162121558,,,4
indian_pines,Original CARS,RF,30,0.6901858884669199,0.6307194418049886,0.6307194418049886,0.6388041105062444,,,2
indian_pines,CCARS_20,Random Forest,20,0.6857885268838697,0.5951563176018891,0.6710908138433406,0.6335432129426122,2.755972385406494,0.9135802469135802,4
indian_pines,CCARS_20,Random Forest,20,0.6817909254447332,0.5880436646739291,0.6651974182046703,0.6286571711813637,2.7370641231536865,0.0123456790123456,3
indian_pines,Original CARS,RF,20,0.6811912852288626,0.5757924985792722,0.5757924985792722,0.6296329043364286,,,3
indian_pines,CCARS_20,Random Forest,20,0.680791525084949,0.5828114224428621,0.6654767227164421,0.6268169794402071,2.801346063613892,1.0,2
indian_pines,Original CARS,SVM-RBF,30,0.6723965620627623,0.7050617535571462,0.7050617535571462,0.6294774544463901,,,2
indian_pines,CCARS_20,SVM-RBF,20,0.6723965620627623,0.6631132208154984,0.6741352872841473,0.6313948582298808,0.2594020366668701,0.0975609756097561,4
indian_pines,Original CARS,SVM-RBF,15,0.6707975214871077,0.6533897163418618,0.6533897163418618,0.630644920103083,,,4
indian_pines,Original CARS,RF,20,0.6689986008394962,0.5981599806185919,0.5981599806185919,0.6144505515216581,,,2
indian_pines,CCARS_20,SVM-RBF,20,0.6658005196881871,0.6338631195697383,0.6675978693040916,0.6245043039849332,0.2756073474884033,0.073170731707317,3
indian_pines,CCARS_20,SVM-RBF,20,0.6616030381770938,0.6437184014747087,0.6640428284090909,0.6195357624962246,0.3026478290557861,0.1463414634146341,2
indian_pines,Original CARS,RF,15,0.6608035178892664,0.5853050370557402,0.5853050370557402,0.6036319899262913,,,2
indian_pines,Original CARS,SVM-RBF,20,0.6560063961623026,0.6551479370901035,0.6551479370901035,0.6093292850752365,,,2
indian_pines,Original CARS,SVM-RBF,10,0.6408155106935839,0.6352562890117295,0.6352562890117295,0.597357012309367,,,4
indian_pines,Original CARS,RF,15,0.6356186288227064,0.5183394812748777,0.5183394812748777,0.5745998517426121,,,3
indian_pines,Original CARS,SVM-RBF,15,0.6356186288227064,0.6144163898682348,0.6144163898682348,0.5853377984215186,,,2
indian_pines,Original CARS,SVM-RBF,20,0.6344193483909654,0.5775392459221711,0.5775392459221711,0.5867060577311551,,,3
indian_pines,Original CARS,RF,10,0.6244253447931242,0.4926130256976345,0.4926130256976345,0.5611775739404194,,,3
indian_pines,CCARS_10,Random Forest,10,0.6220267839296422,0.5130630159519982,0.6028097513627213,0.5589087451310324,2.392840623855591,0.0123456790123456,4
indian_pines,CCARS_10,Random Forest,10,0.6204277433539876,0.4943595950050928,0.5982522793289777,0.556813299700885,2.453399419784546,1.0,3
indian_pines,Original CARS,SVM-RBF,5,0.6148311013391965,0.6020446901857124,0.6020446901857124,0.5672489957982563,,,4
indian_pines,Original CARS,RF,10,0.597041774935039,0.4930063854666648,0.4930063854666648,0.5267452639912245,,,2
indian_pines,CCARS_10,SVM-RBF,10,0.5884469318408955,0.5561723154820793,0.5927841216817314,0.5404117716632164,0.2829370498657226,0.1707317073170731,4
indian_pines,Original CARS,SVM-RBF,15,0.5852488506895862,0.5226161586318223,0.5226161586318223,0.5303966047428779,,,3
indian_pines,CCARS_10,SVM-RBF,10,0.5766540075954427,0.5229807340858876,0.580133940939483,0.528233897345683,0.2920041084289551,0.073170731707317,3
indian_pines,Original CARS,RF,5,0.5746552068758745,0.429948881218876,0.429948881218876,0.5039894424284874,,,3
