train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
819,0.49743589743589745,0.01307326868310053,0.499609756097561,0.018372573512325234,-0.0021738586616635303,0.02254909779850032
1639,0.5220256253813301,0.005214365007741687,0.5235121951219512,0.01599643029780261,-0.0014865697406211131,0.016824844269900933
2459,0.5407076047173648,0.011980123718273781,0.5453658536585366,0.014669875083966442,-0.004658248941171839,0.018940131976423115
3279,0.5501677340652638,0.01081852213861349,0.5532682926829269,0.012777880948064198,-0.0031005586176631184,0.016742600239705068
4099,0.5602829958526468,0.00753775288326058,0.5613658536585366,0.014236550056993494,-0.001082857805889792,0.016108912938320348
4919,0.5679203090058955,0.01073157860144947,0.5679024390243903,0.019074106395863284,1.7869981505214128e-05,0.02188580165494974
5739,0.5816344310855549,0.007050414385506923,0.582048780487805,0.015650556434716304,-0.00041434940225004713,0.01716532142791398
6559,0.594389388626315,0.005228010896819123,0.5934634146341463,0.011895239725958167,0.0009259739921686494,0.012993414719590568
7379,0.6013551971811898,0.006099652034914295,0.6021463414634146,0.012073934442462436,-0.0007911442822248205,0.01352721877800144
8199,0.607830223197951,0.004833674931197534,0.6080975609756097,0.010910266192346757,-0.00026733777765874933,0.011933076792192033
