train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
819,0.40341880341880343,0.010964563770766116,0.40439024390243905,0.015977378416338932,-0.0009714404836356216,0.019377777987738688
1639,0.4190359975594875,0.012666001283448476,0.42156097560975614,0.014102201953613887,-0.0025249780502686336,0.018955202147506362
2459,0.41512810085400564,0.011285789630399825,0.423219512195122,0.017713699044776033,-0.00809141134111635,0.021003432610660084
3279,0.414577615126563,0.016296528587487834,0.4199024390243903,0.018135323169451382,-0.005324823897827291,0.024381689655625764
4099,0.41185655037814095,0.014462149518456839,0.41639024390243906,0.01625671508167861,-0.00453369352429811,0.02175855128314103
4919,0.40678999796706644,0.007338861861268383,0.41063414634146345,0.011602785363760776,-0.003844148374397005,0.013728930097290207
5739,0.41035023523261893,0.008237266304102613,0.4122926829268293,0.01199404968476331,-0.0019424476942103697,0.014550250307306578
6559,0.40902576612288455,0.004586454197765076,0.4118048780487805,0.012159557899223985,-0.0027791119258959718,0.012995784332343212
7379,0.4071554411166824,0.0035758720846666447,0.41014634146341467,0.011341437188535102,-0.0029909003467322726,0.011891806366880734
8199,0.4065617758263203,0.0028505644411253024,0.4084878048780488,0.011726001350588496,-0.0019260290517285061,0.012067511147996144
