Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
380,1,1.0,76,76 wavelengths,3,0.4552380952380952
380,2,0.954548456661834,44,44 wavelengths,3,0.4533333333333333
380,3,0.9111627561154892,27,27 wavelengths,3,0.44952380952380955
380,4,0.8697490026177833,15,15 wavelengths,3,0.4552380952380952
380,5,0.8302175681319744,9,"1422.28, 1741.15, 1946.39, 2116.81, 2146.81, 2166.81, 2186.79, 2216.75, 2326.41",3,0.4533333333333333
380,6,0.7924828983539173,4,"1422.28, 1946.39, 2146.81, 2326.41",3,0.44761904761904764
380,7,0.7564633275546288,3,"1422.28, 1946.39, 2146.81",3,0.41523809523809524
380,8,0.7220809018385463,2,"1946.39, 2146.81",2,0.38095238095238093
380,9,0.6892612104349697,1,1946.39,1,0.26095238095238094
380,10,0.657933224657568,1,1946.39,1,0.26095238095238094
380,11,0.6280291441834253,1,1946.39,1,0.26095238095238094
380,12,0.5994842503189409,1,1946.39,1,0.26095238095238094
380,13,0.5722367659350217,1,1946.39,1,0.26095238095238094
380,14,0.5462277217684341,1,1946.39,1,0.26095238095238094
380,15,0.5214008287999685,1,1946.39,1,0.26095238095238094
380,16,0.49770235643321104,1,1946.39,1,0.26095238095238094
380,17,0.4750810162102796,1,1946.39,1,0.26095238095238094
380,18,0.4534878508128582,1,1946.39,1,0.26095238095238094
380,19,0.4328761281083058,1,1946.39,1,0.26095238095238094
380,20,0.4132012400115337,1,1946.39,1,0.26095238095238094
380,21,0.3944206059437655,1,1946.39,1,0.26095238095238094
380,22,0.37649358067924676,1,1946.39,1,0.26095238095238094
380,23,0.35938136638046264,1,1946.39,1,0.26095238095238094
380,24,0.3430469286314918,1,1946.39,1,0.26095238095238094
380,25,0.3274549162877728,1,1946.39,1,0.26095238095238094
380,26,0.31257158496882365,1,1946.39,1,0.26095238095238094
380,27,0.29836472402833386,1,1946.39,1,0.26095238095238094
380,28,0.28480358684358015,1,1946.39,1,0.26095238095238094
380,29,0.27185882427329405,1,1946.39,1,0.26095238095238094
380,30,0.25950242113997357,1,1946.39,1,0.26095238095238094
380,31,0.24770763559917106,1,1946.39,1,0.26095238095238094
380,32,0.2364489412645407,1,1946.39,1,0.26095238095238094
380,33,0.22570197196339195,1,1946.39,1,0.26095238095238094
380,34,0.21544346900318834,1,1946.39,1,0.26095238095238094
380,35,0.2056512308348651,1,1946.39,1,0.26095238095238094
380,36,0.19630406500402706,1,1946.39,1,0.26095238095238094
380,37,0.18738174228603838,1,1946.39,1,0.26095238095238094
380,38,0.17886495290574345,1,1946.39,1,0.26095238095238094
380,39,0.17073526474706904,1,1946.39,1,0.26095238095238094
380,40,0.1629750834620644,1,1946.39,1,0.26095238095238094
380,41,0.15556761439304717,1,1946.39,1,0.26095238095238094
380,42,0.1484968262254465,1,1946.39,1,0.26095238095238094
380,43,0.14174741629268048,1,1946.39,1,0.26095238095238094
380,44,0.1353047774579807,1,1946.39,1,0.26095238095238094
380,45,0.12915496650148833,1,1946.39,1,0.26095238095238094
380,46,0.1232846739442066,1,1946.39,1,0.26095238095238094
380,47,0.11768119524349983,1,1946.39,1,0.26095238095238094
380,48,0.11233240329780271,1,1946.39,1,0.26095238095238094
