train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
4330,0.5254503464203234,0.009482218878785302,0.5192130057269536,0.011236866666947058,0.006237340693369786,0.014703048913607622
8660,0.528960739030023,0.004759635389631969,0.5239793090707556,0.006136219821467027,0.004981429959267425,0.0077657789525328305
12990,0.5271593533487298,0.004256891161998941,0.5248475891372621,0.005139969082085379,0.002311764211467615,0.006673859792496266
17321,0.5251313434559205,0.004122891514898598,0.52434878995012,0.006424240879908526,0.0007825535058004762,0.007633420290191726
21651,0.5258971871968962,0.0022858532762696964,0.5248291150932939,0.005724390527911061,0.001068072103602269,0.006163908834227741
25981,0.5264847388476194,0.0020048054558295266,0.5254387585442454,0.004508045278826388,0.0010459803033739945,0.00493373257804603
30312,0.5272037476906836,0.002528403972175235,0.5253833364123407,0.004331523171112029,0.0018204112783428705,0.005015468036822877
34642,0.5275157323480169,0.0022386414025529437,0.5253648623683724,0.0042564934975236534,0.002150869979644421,0.004809288120261184
38972,0.5276300934003901,0.0015696704491680931,0.52549418067615,0.004340810695343417,0.0021359127242401854,0.0046158967505566416
43303,0.5276678290187747,0.0011705804196646343,0.5254572325882136,0.004378231494579045,0.002210596430561096,0.004532016056792616
