train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
4330,0.8463741339491916,0.005659659518241703,0.8428967300942176,0.0026337015905703517,0.0034774038549739705,0.006242445829208028
8660,0.8700923787528868,0.0047845595058027,0.8674117864400517,0.0045614805121490486,0.0026805923128351283,0.006610530548093891
12990,0.8805080831408777,0.0028715118033871344,0.8793460188435247,0.00395033640363529,0.0011620642973529938,0.004883721709810851
17321,0.8838288782402863,0.0009697834350717252,0.8829854055052652,0.004247985799263762,0.0008434727350211668,0.004357277046698557
21651,0.8865548935384047,0.0006884223688101995,0.8853685571771661,0.003878229434264232,0.0011863363612385491,0.00393885629373194
25981,0.8894345868134407,0.0008152543655670973,0.8872713837058932,0.00415382624023864,0.0021632031075474734,0.00423307360137658
30312,0.8908749010292952,0.000337340275301235,0.8888416774431924,0.004299573283367082,0.002033223586102806,0.004312786672255457
34642,0.8919000057733388,0.001220538970783305,0.8905782375762055,0.004403105360137248,0.0013217681971333661,0.004569141296969282
38972,0.8927486400492661,0.0009363975945274266,0.8914280435987438,0.004137361032576087,0.0013205964505222934,0.004242003862435278
43303,0.893513151513752,0.0010450126381040333,0.8925549602808054,0.0041385157293762015,0.0009581912329466036,0.004268414677147873
