dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value
salinas,ALL_BANDS,SVM-RBF,204,0.9349927325581395,0.9697518752827874,0.9353253264193804,0.9277389978032079,7.021040439605713,
salinas,CCARS_50,SVM-RBF,50,0.9262718023255814,0.9633402682360864,0.9261035873812313,0.9180079579860093,3.683245897293091,0.024390243902439025
salinas,ALL_BANDS,Random Forest,204,0.9207848837209303,0.9547578457367387,0.9196340063560622,0.9117722338545049,26.163984775543213,
salinas,CCARS_50,Random Forest,50,0.9155886627906977,0.9524474376276695,0.9144708170671891,0.9060182414930722,13.256208896636963,0.012345679012345678
salinas,CCARS_30,SVM-RBF,30,0.9081031976744186,0.949110235439125,0.9076165636365471,0.8978405827362097,4.516305446624756,0.024390243902439025
salinas,CCARS_30,Random Forest,30,0.9070857558139535,0.9463499872225785,0.9055164516635792,0.8965312240732151,9.87877106666565,1.0
salinas,CCARS_20,Random Forest,20,0.8971656976744186,0.9365946422006557,0.8958390770729717,0.8855061469028511,8.080970764160156,1.0
salinas,CCARS_20,SVM-RBF,20,0.8970566860465117,0.9395150938166563,0.8962856587478144,0.8855993496743418,3.84533429145813,0.024390243902439025
salinas,CCARS_10,Random Forest,10,0.882703488372093,0.9269907633687209,0.8822779258790415,0.8695473003397812,6.349966764450073,1.0
salinas,CCARS_10,SVM-RBF,10,0.8693677325581395,0.920699979837196,0.8696928150507266,0.8552647335407731,3.603316068649292,0.4878048780487805
salinas,ALL_BANDS,PLS-DA,204,0.3923328488372093,0.10298409049309974,0.2231853817588008,0.2851321405665722,0.22795510292053223,
salinas,CCARS_50,PLS-DA,50,0.38869912790697675,0.11360000603396808,0.22486292935454805,0.2701897071216809,0.0637354850769043,1.0
salinas,CCARS_10,PLS-DA,10,0.34058866279069766,0.08866434824288819,0.19251873382257015,0.2072385211261426,0.03819704055786133,1.0
salinas,CCARS_20,PLS-DA,20,0.3227470930232558,0.06425688796631238,0.1628604755079765,0.18040559100435638,0.03825688362121582,1.0
salinas,CCARS_30,PLS-DA,30,0.32260174418604654,0.06421435509458574,0.16254593056073854,0.17920196963942292,0.04728841781616211,1.0
