dataset,method,K,classifier,pls_comp,OA,macroF1,kappa
salinas,Fisher,5,SVM-RBF,,0.8777252906976745,0.9273822629596765,0.8644251528053195
salinas,MRMR,15,SVM-RBF,,0.8774345930232558,0.9333526034311588,0.8640761830530417
salinas,CARS_PLS2,10,RF,2.0,0.8748546511627907,0.9092785955325637,0.8605424056085722
salinas,CARS_PLS3,10,SVM-RBF,3.0,0.8733648255813954,0.9170055089720714,0.8594397286919675
salinas,MRMR,10,SVM-RBF,,0.868640988372093,0.9276148281536395,0.8544032473826833
salinas,MRMR,5,RF,,0.8674781976744186,0.9196246631664361,0.8523727562546303
salinas,CARS_PLS2,15,SVM-RBF,2.0,0.8629723837209302,0.9125690087042555,0.8481873473674797
salinas,CARS_PLS2,5,RF,2.0,0.8586119186046511,0.8894349272655787,0.8423353809608709
salinas,MRMR,5,SVM-RBF,,0.8573401162790698,0.919609548825566,0.8420587952911653
salinas,BOSS,10,RF,,0.8559229651162791,0.8901482881663316,0.8391778073285759
salinas,CARS_PLS2,10,SVM-RBF,2.0,0.8554869186046512,0.9044338569645494,0.8398879711551688
salinas,CARS_PLS2,5,SVM-RBF,2.0,0.8317223837209302,0.8766941355104862,0.8137321229556891
salinas,CARS_PLS4,5,RF,4.0,0.8301235465116279,0.8824810219917889,0.8104829491219429
salinas,CARS_PLS3,5,RF,3.0,0.8301235465116279,0.8583798706399622,0.8106188767292087
salinas,BOSS,10,SVM-RBF,,0.8297601744186046,0.8825823238677792,0.8114341905124522
salinas,BOSS,5,RF,,0.8064316860465116,0.8113494810688806,0.7840945565524846
salinas,CARS_PLS4,5,SVM-RBF,4.0,0.8021075581395349,0.8654200889837252,0.7818547558280904
salinas,CARS_PLS3,5,SVM-RBF,3.0,0.7900436046511627,0.8164224393061548,0.7676818790591362
salinas,BOSS,5,SVM-RBF,,0.7254360465116279,0.7637805460975093,0.6988798526975788
