Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
96,1,1.0,125,125 wavelengths,4,0.49116873355881246
96,2,0.954357540733128,72,72 wavelengths,4,0.49342352499060504
96,3,0.9107983155541839,41,41 wavelengths,4,0.4829011649755731
96,4,0.8692272405361663,27,27 wavelengths,4,0.4930477264186396
96,5,0.8295535716163387,16,16 wavelengths,4,0.4817737692596768
96,6,0.7916907065141517,9,"394.94, 703.78, 1157.85, 1452.18, 1462.15, 1531.92, 2286.56, 2356.27, 2366.22",4,0.5099586621570839
96,7,0.7555559956901182,7,"394.94, 703.78, 1452.18, 1462.15, 2286.56, 2356.27, 2366.22",4,0.44419391206313413
96,8,0.721070561932991,5,"1452.18, 1462.15, 2286.56, 2356.27, 2366.22",4,0.3791807591131154
96,9,0.6881591281814239,4,"1452.18, 1462.15, 2356.27, 2366.22",4,0.3509958662157084
96,10,0.656749853204277,1,1452.18,1,0.21007140172867342
96,11,0.6267741747808766,1,1452.18,1,0.21007140172867342
96,12,0.5981666600389132,1,1452.18,1,0.21007140172867342
96,13,0.5708648626232861,1,1452.18,1,0.21007140172867342
96,14,0.5448091863841141,1,1452.18,1,0.21007140172867342
96,15,0.5199427552863595,1,1452.18,1,0.21007140172867342
96,16,0.4962112892570966,1,1452.18,1,0.21007140172867342
96,17,0.4735629856994175,1,1452.18,1,0.21007140172867342
96,18,0.45194840641433354,1,1452.18,1,0.21007140172867342
96,19,0.43132036968383947,1,1452.18,1,0.21007140172867342
96,20,0.41163384727957264,1,1452.18,1,0.21007140172867342
96,21,0.3928458661722489,1,1452.18,1,0.21007140172867342
96,22,0.3749154147273229,1,1452.18,1,0.21007140172867342
96,23,0.35780335318210865,1,1452.18,1,0.21007140172867342
96,24,0.341472328208944,1,1452.18,1,0.21007140172867342
96,25,0.3258866913779032,1,1452.18,1,0.21007140172867342
96,26,0.3110124213410716,1,1452.18,1,0.21007140172867342
