Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
0,1,1.0,80,80 wavelengths,3,0.45904761904761904
0,2,0.954548456661834,43,43 wavelengths,3,0.45904761904761904
0,3,0.9111627561154892,23,23 wavelengths,3,0.45904761904761904
0,4,0.8697490026177833,14,14 wavelengths,3,0.46476190476190476
0,5,0.8302175681319744,11,11 wavelengths,3,0.45904761904761904
0,6,0.7924828983539173,7,"1224.50, 1282.69, 1442.21, 1731.19, 2166.81, 2176.80, 2206.76",3,0.4514285714285714
0,7,0.7564633275546288,4,"1442.21, 2166.81, 2176.80, 2206.76",3,0.4380952380952381
0,8,0.7220809018385463,3,"2166.81, 2176.80, 2206.76",3,0.4114285714285714
0,9,0.6892612104349697,1,2176.80,1,0.28
0,10,0.657933224657568,1,2176.80,1,0.28
0,11,0.6280291441834253,1,2176.80,1,0.28
0,12,0.5994842503189409,1,2176.80,1,0.28
0,13,0.5722367659350217,1,2176.80,1,0.28
0,14,0.5462277217684341,1,2176.80,1,0.28
0,15,0.5214008287999685,1,2176.80,1,0.28
0,16,0.49770235643321104,1,2176.80,1,0.28
0,17,0.4750810162102796,1,2176.80,1,0.28
0,18,0.4534878508128582,1,2176.80,1,0.28
0,19,0.4328761281083058,1,2176.80,1,0.28
0,20,0.4132012400115337,1,2176.80,1,0.28
0,21,0.3944206059437655,1,2176.80,1,0.28
0,22,0.37649358067924676,1,2176.80,1,0.28
0,23,0.35938136638046264,1,2176.80,1,0.28
0,24,0.3430469286314918,1,2176.80,1,0.28
0,25,0.3274549162877728,1,2176.80,1,0.28
0,26,0.31257158496882365,1,2176.80,1,0.28
0,27,0.29836472402833386,1,2176.80,1,0.28
0,28,0.28480358684358015,1,2176.80,1,0.28
0,29,0.27185882427329405,1,2176.80,1,0.28
0,30,0.25950242113997357,1,2176.80,1,0.28
0,31,0.24770763559917106,1,2176.80,1,0.28
0,32,0.2364489412645407,1,2176.80,1,0.28
0,33,0.22570197196339195,1,2176.80,1,0.28
0,34,0.21544346900318834,1,2176.80,1,0.28
0,35,0.2056512308348651,1,2176.80,1,0.28
0,36,0.19630406500402706,1,2176.80,1,0.28
0,37,0.18738174228603838,1,2176.80,1,0.28
0,38,0.17886495290574345,1,2176.80,1,0.28
0,39,0.17073526474706904,1,2176.80,1,0.28
0,40,0.1629750834620644,1,2176.80,1,0.28
0,41,0.15556761439304717,1,2176.80,1,0.28
0,42,0.1484968262254465,1,2176.80,1,0.28
0,43,0.14174741629268048,1,2176.80,1,0.28
0,44,0.1353047774579807,1,2176.80,1,0.28
0,45,0.12915496650148833,1,2176.80,1,0.28
0,46,0.1232846739442066,1,2176.80,1,0.28
0,47,0.11768119524349983,1,2176.80,1,0.28
0,48,0.11233240329780271,1,2176.80,1,0.28
0,49,0.10722672220103231,1,2176.80,1,0.28
0,50,0.10235310218990258,1,2176.80,1,0.28
0,51,0.09770099572992251,1,2176.80,1,0.28
0,52,0.09326033468832198,1,2176.80,1,0.28
0,53,0.08902150854450383,1,2176.80,1,0.28
0,54,0.08497534359086441,1,2176.80,1,0.28
0,55,0.08111308307896871,1,2176.80,1,0.28
0,56,0.07742636826811268,1,2176.80,1,0.28
0,57,0.07390722033525778,1,2176.80,1,0.28
0,58,0.0705480231071864,1,2176.80,1,0.28
0,59,0.0673415065775082,1,2176.80,1,0.28
0,60,0.06428073117284322,1,2176.80,1,0.28
0,61,0.061359072734131714,1,2176.80,1,0.28
0,62,0.05857020818056666,1,2176.80,1,0.28
0,63,0.055908101825122215,1,2176.80,1,0.28
0,64,0.053366992312063086,1,2176.80,1,0.28
0,65,0.05094138014816379,1,2176.80,1,0.28
0,66,0.04862601580065352,1,2176.80,1,0.28
0,67,0.04641588833612778,1,2176.80,1,0.28
0,68,0.04430621457583878,1,2176.80,1,0.28
0,69,0.04229242874389497,1,2176.80,1,0.28
0,70,0.04037017258596554,1,2176.80,1,0.28
0,71,0.038535285937105285,1,2176.80,1,0.28
0,72,0.036783797718286326,1,2176.80,1,0.28
0,73,0.03511191734215129,1,2176.80,1,0.28
0,74,0.03351602650938841,1,2176.80,1,0.28
0,75,0.03199267137797383,1,2176.80,1,0.28
0,76,0.03053855508833414,1,2176.80,1,0.28
0,77,0.029150530628251757,1,2176.80,1,0.28
0,78,0.027825594022071246,1,2176.80,1,0.28
0,79,0.026560877829466853,1,2176.80,1,0.28
0,80,0.025353644939701114,1,2176.80,1,0.28
0,81,0.02420128264794381,1,2176.80,1,0.28
0,82,0.02310129700083159,1,2176.80,1,0.28
0,83,0.022051307399030454,1,2176.80,1,0.28
0,84,0.0210490414451202,1,2176.80,1,0.28
0,85,0.020092330025650466,1,2176.80,1,0.28
0,86,0.019179102616724876,1,2176.80,1,0.28
0,87,0.018307382802953687,1,2176.80,1,0.28
0,88,0.017475284000076835,1,2176.80,1,0.28
0,89,0.016681005372000582,1,2176.80,1,0.28
0,90,0.01592282793341091,1,2176.80,1,0.28
0,91,0.015199110829529336,1,2176.80,1,0.28
0,92,0.014508287784959393,1,2176.80,1,0.28
0,93,0.013848863713938722,1,2176.80,1,0.28
0,94,0.01321941148466029,1,2176.80,1,0.28
0,95,0.012618568830660202,1,2176.80,1,0.28
0,96,0.012045035402587816,1,2176.80,1,0.28
0,97,0.01149756995397736,1,2176.80,1,0.28
0,98,0.01097498765493056,1,2176.80,1,0.28
0,99,0.010476157527896643,1,2176.80,1,0.28
0,100,0.009999999999999993,1,2176.80,1,0.28
1,1,1.0,83,83 wavelengths,3,0.44952380952380955
1,2,0.954548456661834,37,37 wavelengths,3,0.45904761904761904
1,3,0.9111627561154892,25,25 wavelengths,3,0.4552380952380952
1,4,0.8697490026177833,14,14 wavelengths,3,0.45714285714285713
1,5,0.8302175681319744,10,"1282.69, 1292.66, 1422.28, 1741.15, 2016.64, 2106.80, 2156.81, 2176.80, 2196.78, 2256.65",3,0.4552380952380952
1,6,0.7924828983539173,6,"1292.66, 1741.15, 2016.64, 2106.80, 2176.80, 2256.65",3,0.4419047619047619
1,7,0.7564633275546288,5,"1292.66, 1741.15, 2016.64, 2176.80, 2256.65",3,0.42857142857142855
1,8,0.7220809018385463,4,"1292.66, 2016.64, 2176.80, 2256.65",3,0.45714285714285713
1,9,0.6892612104349697,2,"2016.64, 2176.80",2,0.4266666666666667
1,10,0.657933224657568,2,"2016.64, 2176.80",2,0.4266666666666667
1,11,0.6280291441834253,1,2176.80,1,0.28
1,12,0.5994842503189409,1,2176.80,1,0.28
1,13,0.5722367659350217,1,2176.80,1,0.28
1,14,0.5462277217684341,1,2176.80,1,0.28
1,15,0.5214008287999685,1,2176.80,1,0.28
1,16,0.49770235643321104,1,2176.80,1,0.28
1,17,0.4750810162102796,1,2176.80,1,0.28
1,18,0.4534878508128582,1,2176.80,1,0.28
1,19,0.4328761281083058,1,2176.80,1,0.28
1,20,0.4132012400115337,1,2176.80,1,0.28
1,21,0.3944206059437655,1,2176.80,1,0.28
1,22,0.37649358067924676,1,2176.80,1,0.28
1,23,0.35938136638046264,1,2176.80,1,0.28
1,24,0.3430469286314918,1,2176.80,1,0.28
1,25,0.3274549162877728,1,2176.80,1,0.28
1,26,0.31257158496882365,1,2176.80,1,0.28
1,27,0.29836472402833386,1,2176.80,1,0.28
1,28,0.28480358684358015,1,2176.80,1,0.28
1,29,0.27185882427329405,1,2176.80,1,0.28
1,30,0.25950242113997357,1,2176.80,1,0.28
1,31,0.24770763559917106,1,2176.80,1,0.28
1,32,0.2364489412645407,1,2176.80,1,0.28
1,33,0.22570197196339195,1,2176.80,1,0.28
1,34,0.21544346900318834,1,2176.80,1,0.28
1,35,0.2056512308348651,1,2176.80,1,0.28
1,36,0.19630406500402706,1,2176.80,1,0.28
1,37,0.18738174228603838,1,2176.80,1,0.28
1,38,0.17886495290574345,1,2176.80,1,0.28
1,39,0.17073526474706904,1,2176.80,1,0.28
1,40,0.1629750834620644,1,2176.80,1,0.28
1,41,0.15556761439304717,1,2176.80,1,0.28
1,42,0.1484968262254465,1,2176.80,1,0.28
1,43,0.14174741629268048,1,2176.80,1,0.28
1,44,0.1353047774579807,1,2176.80,1,0.28
1,45,0.12915496650148833,1,2176.80,1,0.28
1,46,0.1232846739442066,1,2176.80,1,0.28
1,47,0.11768119524349983,1,2176.80,1,0.28
1,48,0.11233240329780271,1,2176.80,1,0.28
1,49,0.10722672220103231,1,2176.80,1,0.28
1,50,0.10235310218990258,1,2176.80,1,0.28
1,51,0.09770099572992251,1,2176.80,1,0.28
1,52,0.09326033468832198,1,2176.80,1,0.28
1,53,0.08902150854450383,1,2176.80,1,0.28
1,54,0.08497534359086441,1,2176.80,1,0.28
1,55,0.08111308307896871,1,2176.80,1,0.28
1,56,0.07742636826811268,1,2176.80,1,0.28
1,57,0.07390722033525778,1,2176.80,1,0.28
1,58,0.0705480231071864,1,2176.80,1,0.28
1,59,0.0673415065775082,1,2176.80,1,0.28
1,60,0.06428073117284322,1,2176.80,1,0.28
1,61,0.061359072734131714,1,2176.80,1,0.28
1,62,0.05857020818056666,1,2176.80,1,0.28
1,63,0.055908101825122215,1,2176.80,1,0.28
1,64,0.053366992312063086,1,2176.80,1,0.28
1,65,0.05094138014816379,1,2176.80,1,0.28
1,66,0.04862601580065352,1,2176.80,1,0.28
1,67,0.04641588833612778,1,2176.80,1,0.28
1,68,0.04430621457583878,1,2176.80,1,0.28
1,69,0.04229242874389497,1,2176.80,1,0.28
1,70,0.04037017258596554,1,2176.80,1,0.28
1,71,0.038535285937105285,1,2176.80,1,0.28
1,72,0.036783797718286326,1,2176.80,1,0.28
1,73,0.03511191734215129,1,2176.80,1,0.28
1,74,0.03351602650938841,1,2176.80,1,0.28
1,75,0.03199267137797383,1,2176.80,1,0.28
1,76,0.03053855508833414,1,2176.80,1,0.28
1,77,0.029150530628251757,1,2176.80,1,0.28
1,78,0.027825594022071246,1,2176.80,1,0.28
1,79,0.026560877829466853,1,2176.80,1,0.28
1,80,0.025353644939701114,1,2176.80,1,0.28
1,81,0.02420128264794381,1,2176.80,1,0.28
1,82,0.02310129700083159,1,2176.80,1,0.28
1,83,0.022051307399030454,1,2176.80,1,0.28
1,84,0.0210490414451202,1,2176.80,1,0.28
1,85,0.020092330025650466,1,2176.80,1,0.28
1,86,0.019179102616724876,1,2176.80,1,0.28
1,87,0.018307382802953687,1,2176.80,1,0.28
1,88,0.017475284000076835,1,2176.80,1,0.28
1,89,0.016681005372000582,1,2176.80,1,0.28
1,90,0.01592282793341091,1,2176.80,1,0.28
1,91,0.015199110829529336,1,2176.80,1,0.28
1,92,0.014508287784959393,1,2176.80,1,0.28
1,93,0.013848863713938722,1,2176.80,1,0.28
1,94,0.01321941148466029,1,2176.80,1,0.28
1,95,0.012618568830660202,1,2176.80,1,0.28
1,96,0.012045035402587816,1,2176.80,1,0.28
1,97,0.01149756995397736,1,2176.80,1,0.28
1,98,0.01097498765493056,1,2176.80,1,0.28
1,99,0.010476157527896643,1,2176.80,1,0.28
1,100,0.009999999999999993,1,2176.80,1,0.28
2,1,1.0,84,84 wavelengths,3,0.4533333333333333
2,2,0.954548456661834,39,39 wavelengths,3,0.4533333333333333
2,3,0.9111627561154892,20,20 wavelengths,3,0.45714285714285713
2,4,0.8697490026177833,12,12 wavelengths,3,0.46285714285714286
2,5,0.8302175681319744,9,"1292.66, 1422.28, 1741.15, 1936.35, 1946.39, 1976.51, 2146.81, 2156.81, 2226.73",3,0.45904761904761904
2,6,0.7924828983539173,5,"1292.66, 1422.28, 1946.39, 1976.51, 2146.81",3,0.45714285714285713
2,7,0.7564633275546288,4,"1292.66, 1422.28, 1946.39, 1976.51",3,0.4552380952380952
2,8,0.7220809018385463,3,"1292.66, 1422.28, 1946.39",3,0.4438095238095238
2,9,0.6892612104349697,2,"1292.66, 1946.39",2,0.4038095238095238
2,10,0.657933224657568,2,"1292.66, 1946.39",2,0.4038095238095238
2,11,0.6280291441834253,2,"1292.66, 1946.39",2,0.4038095238095238
2,12,0.5994842503189409,2,"1292.66, 1946.39",2,0.4038095238095238
2,13,0.5722367659350217,2,"1292.66, 1946.39",2,0.4038095238095238
2,14,0.5462277217684341,1,1946.39,1,0.26095238095238094
2,15,0.5214008287999685,1,1946.39,1,0.26095238095238094
2,16,0.49770235643321104,1,1946.39,1,0.26095238095238094
2,17,0.4750810162102796,1,1946.39,1,0.26095238095238094
2,18,0.4534878508128582,1,1946.39,1,0.26095238095238094
2,19,0.4328761281083058,1,1946.39,1,0.26095238095238094
2,20,0.4132012400115337,1,1946.39,1,0.26095238095238094
2,21,0.3944206059437655,1,1946.39,1,0.26095238095238094
2,22,0.37649358067924676,1,1946.39,1,0.26095238095238094
2,23,0.35938136638046264,1,1946.39,1,0.26095238095238094
2,24,0.3430469286314918,1,1946.39,1,0.26095238095238094
2,25,0.3274549162877728,1,1946.39,1,0.26095238095238094
2,26,0.31257158496882365,1,1946.39,1,0.26095238095238094
2,27,0.29836472402833386,1,1946.39,1,0.26095238095238094
2,28,0.28480358684358015,1,1946.39,1,0.26095238095238094
