Run,Iteration,Ratio,Selected_Variables,Selected_Wavelengths,N_Components,Accuracy
120,1,1.0,81,81 wavelengths,3,0.3897031191281473
120,2,0.954357540733128,46,46 wavelengths,3,0.38895152198421645
120,3,0.9107983155541839,24,24 wavelengths,3,0.38857572341225105
120,4,0.8692272405361663,15,15 wavelengths,3,0.3881999248402856
120,5,0.8295535716163387,10,"423.98, 433.67, 1243.49, 1282.69, 1472.12, 1492.05, 1601.68, 1936.35, 2276.60, 2435.79",3,0.38707252912438933
120,6,0.7916907065141517,5,"423.98, 433.67, 1243.49, 1472.12, 1492.05",3,0.38669673055242393
120,7,0.7555559956901182,3,"433.67, 1243.49, 1492.05",3,0.38895152198421645
120,8,0.721070561932991,2,"433.67, 1492.05",2,0.37316798196166856
120,9,0.6881591281814239,1,433.67,1,0.3047726418639609
120,10,0.656749853204277,1,433.67,1,0.3047726418639609
120,11,0.6267741747808766,1,433.67,1,0.3047726418639609
120,12,0.5981666600389132,1,433.67,1,0.3047726418639609
120,13,0.5708648626232861,1,433.67,1,0.3047726418639609
120,14,0.5448091863841141,1,433.67,1,0.3047726418639609
120,15,0.5199427552863595,1,433.67,1,0.3047726418639609
120,16,0.4962112892570966,1,433.67,1,0.3047726418639609
120,17,0.4735629856994175,1,433.67,1,0.3047726418639609
120,18,0.45194840641433354,1,433.67,1,0.3047726418639609
120,19,0.43132036968383947,1,433.67,1,0.3047726418639609
120,20,0.41163384727957264,1,433.67,1,0.3047726418639609
120,21,0.3928458661722489,1,433.67,1,0.3047726418639609
120,22,0.3749154147273229,1,433.67,1,0.3047726418639609
120,23,0.35780335318210865,1,433.67,1,0.3047726418639609
120,24,0.341472328208944,1,433.67,1,0.3047726418639609
120,25,0.3258866913779032,1,433.67,1,0.3047726418639609
120,26,0.3110124213410716,1,433.67,1,0.3047726418639609
120,27,0.29681704956852045,1,433.67,1,0.3047726418639609
120,28,0.28326958947387604,1,433.67,1,0.3047726418639609
120,29,0.27034046877477114,1,433.67,1,0.3047726418639609
120,30,0.2580014649405315,1,433.67,1,0.3047726418639609
120,31,0.24622564358619,1,433.67,1,0.3047726418639609
120,32,0.23498729967834794,1,433.67,1,0.3047726418639609
120,33,0.22426190142454666,1,433.67,1,0.3047726418639609
120,34,0.21402603672366552,1,433.67,1,0.3047726418639609
120,35,0.20425736206045553,1,433.67,1,0.3047726418639609
120,36,0.19493455373265248,1,433.67,1,0.3047726418639609
120,37,0.18603726130420398,1,433.67,1,0.3047726418639609
120,38,0.17754606318300636,1,433.67,1,0.3047726418639609
120,39,0.16944242422618255,1,433.67,1,0.3047726418639609
120,40,0.1617086552803589,1,433.67,1,0.3047726418639609
120,41,0.15432787456862446,1,433.67,1,0.3047726418639609
120,42,0.14728397083988307,1,433.67,1,0.3047726418639609
120,43,0.14056156820016055,1,433.67,1,0.3047726418639609
120,44,0.13414599254909704,1,433.67,1,0.3047726418639609
120,45,0.12802323954836076,1,433.67,1,0.3047726418639609
120,46,0.1221799440520617,1,433.67,1,0.3047726418639609
120,47,0.11660335093243673,1,433.67,1,0.3047726418639609
120,48,0.1112812872371222,1,433.67,1,0.3047726418639609
120,49,0.10620213561723678,1,433.67,1,0.3047726418639609
120,50,0.10135480896827219,1,433.67,1,0.3047726418639609
120,51,0.09672872622843623,1,433.67,1,0.3047726418639609
120,52,0.09231378928161843,1,433.67,1,0.3047726418639609
120,53,0.0881003609145615,1,433.67,1,0.3047726418639609
120,54,0.08407924378012192,1,433.67,1,0.3047726418639609
120,55,0.08024166032069831,1,433.67,1,0.3047726418639609
120,56,0.07657923360800463,1,433.67,1,0.3047726418639609
120,57,0.07308396905736299,1,433.67,1,0.3047726418639609
120,58,0.06974823697660097,1,433.67,1,0.3047726418639609
120,59,0.06656475591146033,1,433.67,1,0.3047726418639609
120,60,0.0635265767511622,1,433.67,1,0.3047726418639609
120,61,0.06062706755943346,1,433.67,1,0.3047726418639609
120,62,0.05785989909788212,1,433.67,1,0.3047726418639609
120,63,0.05521903101012169,1,433.67,1,0.3047726418639609
120,64,0.05269869863648607,1,433.67,1,0.3047726418639609
120,65,0.050293400430553095,1,433.67,1,0.3047726418639609
120,66,0.04799788595000907,1,433.67,1,0.3047726418639609
120,67,0.045807144395639814,1,433.67,1,0.3047726418639609
120,68,0.0437163936734301,1,433.67,1,0.3047726418639609
120,69,0.04172106995589601,1,433.67,1,0.3047726418639609
120,70,0.03981681771986371,1,433.67,1,0.3047726418639609
120,71,0.03799948023894836,1,433.67,1,0.3047726418639609
120,72,0.03626509050997986,1,433.67,1,0.3047726418639609
120,73,0.03460986259356866,1,433.67,1,0.3047726418639609
120,74,0.03303018334990966,1,433.67,1,0.3047726418639609
120,75,0.0315226045517841,1,433.67,1,0.3047726418639609
120,76,0.030083835357543567,1,433.67,1,0.3047726418639609
120,77,0.028710735127645604,1,433.67,1,0.3047726418639609
120,78,0.02740030656906009,1,433.67,1,0.3047726418639609
120,79,0.026149689192581947,1,433.67,1,0.3047726418639609
