train_size,train_score_mean,train_score_std,val_score_mean,val_score_std,gap_mean,gap_std
819,1.0,0.0,0.7042926829268292,0.006554761768679352,0.2957073170731708,0.006554761768679352
1639,1.0,0.0,0.7262439024390244,0.015045914262366454,0.27375609756097563,0.015045914262366454
2459,1.0,0.0,0.7421463414634146,0.012358322621338534,0.2578536585365854,0.012358322621338534
3279,1.0,0.0,0.7498536585365854,0.009845444535838343,0.25014634146341463,0.009845444535838343
4099,0.9998536228348378,0.00019516955354964005,0.7576585365853659,0.008485000938598603,0.24219508624947195,0.008487245258778135
4919,0.999756047977231,0.0001991859925011513,0.7668292682926829,0.008232204140382051,0.2329267796845481,0.008234613534861976
5739,0.9995469594005923,0.0004064089140857538,0.7747317073170732,0.007628494752126685,0.22481525208351916,0.007639312821757774
6559,0.9993291660314071,0.00041586161600811237,0.7749268292682927,0.007796336789856416,0.22440233676311439,0.007807420074809445
7379,0.9991597777476624,0.0005027032657810206,0.7799024390243904,0.005417929122698471,0.21925733872327202,0.0054412008373162565
8199,0.9989023051591657,0.0006314028103692922,0.7815609756097561,0.006747947889089014,0.21734132954940955,0.00677742356820076
